node_idx,description
104,"This node has direct edges to 53 out of the 398 other nodes in the network (degree centrality 0.1332 × 398 ≈ 53). Its closeness centrality of 0.4901 corresponds to a mean shortest-path distance of 1 / 0.4901 ≈ 2.04 hops to reach any other node in the graph. The betweenness centrality of 0.0010 means this node lies on approximately 0.10% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4093 indicates that about 40.93% of the node's 53 neighbors share a direct edge with one another, forming a moderately connected local neighborhood. The square clustering coefficient of 0.2456 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 24.56% of such cycles are present, reflecting the extent to which neighbors are connected through paths of length two as well as direct edges."
105,"This node has direct edges to 63 out of the 398 other nodes in the network (degree centrality 0.1583 × 398 ≈ 63). Its closeness centrality of 0.4914 corresponds to a mean shortest-path distance of 1 / 0.4914 ≈ 2.03 hops to reach any other node in the graph. The betweenness centrality of 0.0077 indicates that this node lies on approximately 0.77% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3487 signifies that about 34.87% of the node's 63 neighbors are directly connected to one another, indicating moderate local connectivity. The square clustering coefficient of 0.2040 means that 20.40% of the potential four-node cycles (squares) that could form among the node's neighbors are closed, revealing the degree to which these neighbors are interconnected through two-hop paths in addition to direct edges."
106,"This node has direct edges to 85 out of the 398 other nodes in the network (degree centrality 0.2136 × 398 ≈ 85). Its closeness centrality of 0.5386 corresponds to a mean shortest-path distance of 1 / 0.5386 ≈ 1.86 hops to reach any other node in the graph. The betweenness centrality of 0.0157 indicates that this node lies on approximately 1.57% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3560 signifies that about 35.6% of the node's 85 neighbors are interconnected, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.1997 signifies that approximately 19.97% of the potential four-node cycles among the node’s neighbors are closed, reflecting the extent to which neighbors form connections through paths of length two in addition to direct edges."
107,"This node has direct edges to 35 out of the 398 other nodes in the network, corresponding to a degree centrality of 0.0879 (degree = 0.0879 × 399 ≈ 35). Its closeness centrality of 0.4591 translates to a mean shortest-path distance of approximately 2.18 hops to reach any node in the graph (average path length = 1 / 0.4591 ≈ 2.18). The betweenness centrality of 0.0003 indicates that this node lies on approximately 0.03% of all shortest paths between every pair of nodes (betweenness percentage = 0.0003 × 100). The clustering coefficient of 0.4269 signifies that about 42.69% of this node's 35 neighbors are directly connected to one another, illustrating a moderate level of local interconnectivity. The square clustering coefficient of 0.2631 reflects that 26.31% of potential four-node cycles (squares) among the neighbors are closed, indicating a level of interconnectedness through two-hop paths among those linked nodes."
108,"This node has direct edges to 12 out of the 398 other nodes in the network (degree centrality 0.0302 × 398 ≈ 12). Its closeness centrality of 0.4354 corresponds to a mean shortest-path distance of 1 / 0.4354 ≈ 2.30 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node lies on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.6515 means that about 65.15% of the node's 12 neighbors share a direct edge with one another, indicating a highly connected local neighborhood. The square clustering coefficient of 0.2922 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 29.22% of such cycles are present, reflecting some interconnectedness among neighbors through paths of length two in addition to direct links."
109,"This node has direct edges to 19 out of the 398 other nodes in the network (degree centrality 0.0477 × 399 ≈ 19). Its closeness centrality of 0.4467 corresponds to a mean shortest-path distance of 1 / 0.4467 ≈ 2.24 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any pair of nodes, representing 0% of all shortest paths in the network. The clustering coefficient of 0.6725 indicates that approximately 67.25% of the node's 19 neighbors share a direct edge with one another, suggesting a relatively dense local neighborhood. The square clustering coefficient of 0.3062 reveals that around 30.62% of potential four-node cycles (squares) formed by the node's neighbors are closed, reflecting the extent of connectivity among neighbors through paths of length two in addition to direct edges."
110,"This node has direct edges to 45 out of the 398 other nodes in the network (degree centrality 0.1131 × 398 ≈ 45). Its closeness centrality of 0.4755 corresponds to a mean shortest-path distance of 1 / 0.4755 ≈ 2.1 hops to reach any other node in the graph. The betweenness centrality of 0.0013 indicates that this node lies on approximately 0.13% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.5192 signifies that about 51.9% of the node's 45 neighbors share a direct edge with one another, indicating a moderately dense local connectivity among neighbors. The square clustering coefficient of 0.2406 indicates that 24.1% of potential four-node cycles (squares) among the node's neighbors are closed, demonstrating the connection patterns through paths of length two as well as direct edges among the neighbors."
111,"This node has direct edges to 7 out of the 398 other nodes in the network (degree centrality 0.0176 × 398 ≈ 7). Its closeness centrality of 0.4345 corresponds to a mean shortest-path distance of 1 / 0.4345 ≈ 2.3 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between other pairs of nodes, meaning it does not serve as a bridge in any connections. The clustering coefficient of 0.4286 implies that approximately 42.9% of the 7 neighbors are connected to each other, creating a moderately interconnected local neighborhood. The square clustering coefficient of 0.3101 shows that 31.01% of potential four-node cycles (squares) among the node’s neighbors are closed, indicating the presence of connections that extend beyond direct neighbor relationships in paths of length two."
112,"This node has direct edges to 17 out of the 398 other nodes in the network (degree centrality 0.0427 × 398 ≈ 17). Its closeness centrality of 0.4317 corresponds to a mean shortest-path distance of 1 / 0.4317 ≈ 2.31 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between any other pairs of nodes, representing 0% of the total paths. The clustering coefficient of 0.4779 signifies that approximately 47.8% of this node's 17 neighbors are mutually connected to one another, indicating a moderately interconnected local neighborhood. The square clustering coefficient of 0.2760 reveals that 27.6% of potential four-node cycles (squares) among the node's neighbors are closed, illustrating the presence of connections through paths of length two in addition to direct edges among those neighbors."
113,"This node has direct edges to 8 out of the 398 other nodes in the network, as indicated by its degree centrality of 0.0201 (degree centrality scaled by 399 ≈ 8). Its closeness centrality of 0.4298 corresponds to a mean shortest-path distance of approximately 2.33 hops to reach any other node in the graph (calculated as 1 / 0.4298 ≈ 2.33). The betweenness centrality of 0.0000 signifies that this node does not lie on any of the shortest paths between other pairs of nodes, representing 0% of all such paths. The clustering coefficient of 0.5000 indicates that 50% of the node's 8 neighbors are connected to one another, which forms a moderate local density among those neighbors. The square clustering coefficient of 0.2985 suggests that 29.85% of potential four-node cycles (squares) among the node's neighbors are completed, reflecting a degree of connectivity through paths of length two within the local neighborhood."
114,"This node has direct edges to 23 out of the 398 other nodes in the network (degree centrality 0.0578 × 398 ≈ 23). Its closeness centrality of 0.4564 indicates a mean shortest-path distance of 1 / 0.4564 ≈ 2.19 hops to reach any other node in the graph. The betweenness centrality of 0.0004 means this node lies on approximately 0.04% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.5059 indicates that about 50.6% of the node's 23 neighbors share a direct edge with one another, forming a moderately dense local neighborhood. The square clustering coefficient of 0.2200 suggests that 22% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting a degree of indirect connectivity among its neighbors through paths of length two as well as direct edges."
115,"This node has direct edges to 6 out of the 398 other nodes in the network (degree centrality 0.0151 × 398 ≈ 6). Its closeness centrality of 0.4207 corresponds to a mean shortest-path distance of approximately 2.38 hops to reach any other node in the graph (1 / 0.4207 ≈ 2.38). The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.2000 suggests that about 20.0% of the node's 6 neighbors share a direct edge with one another, indicating a moderate level of local neighbor connectivity. The square clustering coefficient of 0.3301 reflects that approximately 33.0% of potential four-node cycles (squares) are closed among the node's neighbors, highlighting the extent of connectivity among neighbors through paths of length two in addition to direct edges."
116,"This node has direct edges to 44 out of the 398 other nodes in the network (node degree of 0.1106 × 398 = 44). Its closeness centrality of 0.4677 corresponds to a mean shortest-path distance of 1 / 0.4677 ≈ 2.14 hops to reach any other node in the graph. The betweenness centrality of 0.0006 indicates that this node lies on approximately 0.06% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4873 signifies that about 48.73% of the node's 44 neighbors are connected to each other, forming a relatively dense local neighborhood. The square clustering coefficient of 0.2314 reflects that approximately 23.14% of the potential four-node cycles (squares) among the node's neighbors are closed, indicating a moderate level of connectivity among the neighbors through multiple paths."
117,"This node has direct edges to 43 out of the 398 other nodes in the network (degree centrality 0.1080 × 398 ≈ 43). Its closeness centrality of 0.4533 corresponds to a mean shortest-path distance of 1 / 0.4533 ≈ 2.20 hops to reach any other node in the graph. The betweenness centrality of 0.0014 indicates that this node lies on approximately 0.14% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3976 suggests that about 39.76% of the node's 43 neighbors share a direct edge with one another, indicating a moderate level of local interconnectedness. The square clustering coefficient of 0.2086 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; in this case, 20.86% of such cycles are present, reflecting the degree to which neighbors are interconnected through paths of length two as well as direct edges."
118,"This node has direct edges to 39 out of the 398 other nodes in the network (degree centrality 0.0980 × 399 ≈ 39). Its closeness centrality of 0.4617 corresponds to a mean shortest-path distance of 1 / 0.4617 ≈ 2.16 hops to reach any other node in the graph. The betweenness centrality of 0.0012 indicates that this node lies on approximately 0.12% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4723 reveals that about 47.2% of the node's 39 neighbors share direct edges with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2172 signifies that 21.7% of potential four-node cycles (squares) among the node's neighbors are closed, reflecting the level of connectivity through paths of length two as well as direct edges within that subset of neighbors."
119,"This node has direct edges to 64 out of the 398 other nodes in the network (degree centrality 0.1608 × 398 ≈ 64). Its closeness centrality of 0.5103 corresponds to a mean shortest-path distance of 1 / 0.5103 ≈ 1.96 hops to reach any other node in the graph. The betweenness centrality of 0.0024 indicates that this node lies on approximately 0.24% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.3904 means that about 39.04% of the node's 64 neighbors share a direct edge with one another, indicating a relatively connected local neighbourhood. The square clustering coefficient of 0.2235 reflects that approximately 22.35% of all potential four-node cycles (squares) are closed among the node's neighbors, evidencing the extent of connectivity through paths of length two as well as direct edges."
120,"This node has direct edges to 27 out of the 398 other nodes in the network (degree centrality 0.0678 × 398 ≈ 27). Its closeness centrality of 0.4538 corresponds to a mean shortest-path distance of 1 / 0.4538 ≈ 2.20 hops to reach any other node in the graph. The betweenness centrality of 0.0001 means this node lies on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.6040 indicates that about 60.4% of the node's 27 neighbors share a direct edge with one another, demonstrating a relatively dense local neighborhood. The square clustering coefficient of 0.2686 reflects that 26.9% of potential four-node cycles (squares) are closed among the node's neighbors, indicating a moderate level of connectivity among them through two-step paths as well as direct edges."
121,"This node has direct edges to 60 out of the 398 other nodes in the network, corresponding to its degree centrality of 0.1508 (0.1508 × 398 ≈ 60). Its closeness centrality of 0.4807 translates to a mean shortest-path distance of approximately 2.08 hops to reach any other node in the graph (1 / 0.4807 ≈ 2.08). The betweenness centrality of 0.0028 indicates that this node lies on approximately 0.28% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4051 signifies that about 40.51% of this node's 60 neighbors are mutually connected, thus forming a local cohesive group. The square clustering coefficient of 0.2132 reveals that 21.32% of the potential four-node cycles among the neighbors are closed, indicating the extent to which the neighbors are interconnected through both direct edges and two-hop paths."
122,"This node has direct edges to 45 out of the 398 other nodes in the network, which aligns with a degree centrality of 0.1131 (0.1131 × 398 ≈ 45). Its closeness centrality of 0.4623 corresponds to a mean shortest-path distance of approximately 2.16 hops to reach any other node in the graph (1 / 0.4623 ≈ 2.16). The betweenness centrality of 0.0007 indicates that this node lies on roughly 0.07% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4374 signifies that about 43.74% of the node's 45 neighbors are mutually connected, suggesting a moderately dense local neighbourhood. The square clustering coefficient of 0.2335 indicates that 23.35% of potential four-node cycles (squares) that could be formed among the node's neighbors are closed, reflecting the extent of connectivity among neighbors through two-step pathways in addition to direct connections."
123,"This node has direct edges to 12 out of the 398 other nodes in the network (degree centrality 0.0302 × 398 ≈ 12). Its closeness centrality of 0.4248 corresponds to a mean shortest-path distance of 1 / 0.4248 ≈ 2.36 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node lies on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4697 signifies that about 46.97% of the node's 12 neighbors share a direct edge with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2685 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 26.85% of such cycles are present, reflecting the degree to which neighbors are connected through paths of length two as well as direct edges."
124,"This node has direct edges to 8 out of the 398 other nodes in the network (degree centrality 0.0201 × 398 ≈ 8). Its closeness centrality of 0.4082 corresponds to a mean shortest-path distance of 1 / 0.4082 ≈ 2.45 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes, contributing 0% to the overall network's pathways. The clustering coefficient of 0.6071 suggests that approximately 60.71% of the node's 8 neighbors are directly connected to each other, signifying a relatively cohesive local neighborhood. The square clustering coefficient of 0.3883 reveals that about 38.83% of the potential four-node cycles (squares) among the node's neighbors are closed, indicating a moderate density of connections formed through two-step paths as well as direct edges."
125,"This node has direct edges to 23 out of the 398 other nodes in the network (degree centrality 0.0578 × 398 ≈ 23). Its closeness centrality of 0.4378 corresponds to a mean shortest-path distance of 1 / 0.4378 ≈ 2.28 hops to reach any other node in the graph. The betweenness centrality of 0.0005 indicates that this node lies on approximately 0.05% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.3953 signifies that about 39.53% of the node's 23 neighbors are directly connected to each other, highlighting a moderate density of connections within its local neighborhood. The square clustering coefficient of 0.1987 reveals that 19.87% of potential four-node cycles (squares) are closed among the node's neighbors, indicating a moderate level of connectivity among these nodes through paths of length two in addition to direct edges."
126,"This node has direct edges to 40 out of the 398 other nodes in the network (degree centrality 0.1005 × 399 ≈ 40). Its closeness centrality of 0.4772 corresponds to a mean shortest-path distance of 1 / 0.4772 ≈ 2.09 hops to reach any other node in the graph. The betweenness centrality of 0.0065 indicates that this node lies on approximately 0.65% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4474 suggests that about 44.74% of the node's 40 neighbors are mutually connected through direct edges, indicating a moderately dense local neighborhood. The square clustering coefficient of 0.2642 reveals that 26.42% of potential four-node cycles (squares) are closed among the node's neighbors, reflecting a lower level of connection among neighbors through paths of length two in addition to direct edges."
127,"This node has direct edges to 1 out of the 398 other nodes in the network (degree centrality 0.0025 × 398 ≈ 1). Its closeness centrality of 0.3233 corresponds to a mean shortest-path distance of 1 / 0.3233 ≈ 3.09 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes; it does not act as a bridge between any two nodes. The clustering coefficient of 0.0000 shows that 0% of the node's single neighbor has mutual connections with one another, indicating a lack of connectivity among its direct connections. Similarly, the square clustering coefficient of 0.0000 indicates that there are no closed four-node cycles among the node's neighbors, reflecting that none of its neighbor's pairs are connected through a common neighbor."
128,"This node has direct edges to 2 out of the 398 other nodes in the network (degree centrality 0.0050 × 398 ≈ 2). Its closeness centrality of 0.4024 corresponds to a mean shortest-path distance of 1 / 0.4024 ≈ 2.48 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other pairs of nodes. The clustering coefficient of 0.0000 signifies that none of the node's 2 neighbors share a direct edge with each other, indicating no mutual connections within its local neighborhood. The square clustering coefficient of 0.1483 indicates that about 14.83% of the potential four-node cycles (squares) are closed among the node's neighbors, suggesting that while this node does not participate in direct connections between its neighbors, there are some connections at a distance of two hops that form small cycles."
129,"This node has direct edges to 24 out of the 398 other nodes in the network (degree centrality 0.0603 × 398 ≈ 24). Its closeness centrality of 0.4462 corresponds to a mean shortest-path distance of 1 / 0.4462 ≈ 2.24 hops to reach any other node in the graph. The betweenness centrality of 0.0001 means this node is on approximately 0.01% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.6812 indicates that about 68.12% of the node's 24 neighbors share a direct edge with one another, showing a relatively high level of connectivity in its local neighborhood. The square clustering coefficient of 0.2989 signifies that 29.89% of potential four-node cycles (squares) among its neighbors are closed, reflecting how connected neighbors are through two-step paths in addition to direct edges."
130,"This node has direct edges to 38 out of the 398 other nodes in the network (degree centrality 0.0955 × 399 ≈ 38). Its closeness centrality of 0.4824 corresponds to a mean shortest-path distance of 1 / 0.4824 ≈ 2.07 hops to reach any other node in the graph. The betweenness centrality of 0.0004 indicates that this node lies on approximately 0.04% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.5249 implies that about 52.5% of the node's 38 neighbors share a direct edge with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2705 means that 27.1% of the potential four-node cycles (squares) among the node's neighbors are closed, showing a presence of connections through paths of length two in addition to direct edges among its neighbors."
131,"This node has direct edges to 53 out of the 398 other nodes in the network. Its degree centrality of 0.1332 corresponds to this neighbor count (degree centrality × 398 = 0.1332 × 398 ≈ 53). The closeness centrality of 0.5182 translates to a mean shortest-path distance of approximately 1.93 hops to reach any other node in the graph (1 / closeness centrality = 1 / 0.5182 ≈ 1.93). The betweenness centrality of 0.0024 indicates that this node is part of about 0.24% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4695 signifies that approximately 46.95% of the node's 53 neighbors are interconnected, forming a cohesive local network. The square clustering coefficient of 0.2478 reveals that 24.78% of potential four-node cycles that could include the neighboring nodes are present, indicating the extent of connectivity among the neighbors through paths of length two as well as direct edges."
132,"This node has direct edges to 49 out of the 398 other nodes in the network (degree centrality 0.1231 × 398 ≈ 49). Its closeness centrality of 0.4818 corresponds to a mean shortest-path distance of 1 / 0.4818 ≈ 2.08 hops to reach any other node in the graph. The betweenness centrality of 0.0008 indicates that this node is part of approximately 0.08% of all shortest paths between every other pair of nodes in the network. The clustering coefficient of 0.4124 signifies that about 41.24% of the node's 49 neighbors possess direct links with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2365 implies that approximately 23.65% of potential four-node cycles (squares) involving the node's neighbors are formed, reflecting the connectivity through paths of length two, alongside direct edges."
133,"This node has direct edges to 37 out of the 398 other nodes in the network (degree centrality 0.0930 × 399 ≈ 37). Its closeness centrality of 0.4755 corresponds to a mean shortest-path distance of approximately 2.10 hops to reach any other node in the graph (1 / 0.4755 ≈ 2.10). The betweenness centrality of 0.0014 indicates this node lies on about 0.14% of all shortest paths between every other pair of nodes (0.0014 × 100). The clustering coefficient of 0.3784 shows that roughly 37.84% of the node's 37 neighbors are connected to each other, indicating a moderate level of local interconnectedness. The square clustering coefficient of 0.2322 signifies that about 23.22% of the possible four-node cycles among the node's neighbors are closed, reflecting the extent of connectivity through paths of length two along with direct edges among those neighbors."
134,"This node has direct edges to 47 out of the 398 other nodes in the network. Its degree centrality of 0.1181 indicates it serves as a direct connection to about 11.81% of the other nodes. The closeness centrality of 0.4848 corresponds to a mean shortest-path distance of approximately 2.06 hops to reach any other node in the graph, calculated as 1 / 0.4848. The betweenness centrality of 0.0007 signifies that this node is part of approximately 0.07% of all shortest paths between every other pair of nodes. With a clustering coefficient of 0.5375, about 53.75% of the node's 47 neighbors are interconnected, forming a dense local cluster. The square clustering coefficient of 0.2554 indicates that around 25.54% of potential four-node cycles (squares) formed by the node's neighbors are closed, suggesting that there is some degree of interconnectedness among them through both direct and two-step connectivity."
135,"This node has direct edges to 10 out of the 398 other nodes in the network (degree centrality 0.0251 × 398 ≈ 10). Its closeness centrality of 0.4312 corresponds to a mean shortest-path distance of 1 / 0.4312 ≈ 2.32 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node lies on 0% of all shortest paths between every other pair of nodes, meaning it does not participate in connecting any pairs of nodes through shortest paths. The clustering coefficient of 0.6000 reveals that approximately 60% of the node's 10 neighbors share direct connections with each other, indicating a relatively cohesive local neighborhood. The square clustering coefficient of 0.2507 shows that around 25.07% of potential four-node cycles (squares) among the node's neighbors are closed, which reflects a moderate level of connectivity among those neighbors through pairs of two-step paths in addition to direct links."
136,"This node has direct edges to 41 out of the 398 other nodes in the network (degree centrality 0.1030 × 398 ≈ 41). Its closeness centrality of 0.4688 corresponds to a mean shortest-path distance of 1 / 0.4688 ≈ 2.13 hops to reach any other node in the graph. The betweenness centrality of 0.0005 indicates that this node lies on approximately 0.05% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4476 signifies that about 44.76% of the node's 41 neighbors share a direct edge with one another, indicating a moderately connected local neighborhood. The square clustering coefficient of 0.2564 reflects that 25.64% of potential four-node cycles (squares) that could exist among the node's neighbors are closed, suggesting that a notable fraction of connections among the neighbors involves paths of length two, in addition to direct edges."
137,"This node has direct edges to 29 out of the 398 other nodes in the network (degree centrality 0.0729 × 398 ≈ 29). Its closeness centrality of 0.4807 corresponds to a mean shortest-path distance of 1 / 0.4807 ≈ 2.08 hops to reach any other node in the graph. The betweenness centrality of 0.0003 indicates that this node lies on approximately 0.03% of all shortest paths between every other pair of nodes, suggesting minimal influence on the flow of information within the network. The clustering coefficient of 0.6404 implies that about 64.0% of the node's 29 neighbors share direct edges with one another, indicating a relatively connected local neighborhood. The square clustering coefficient of 0.3165 signifies that 31.65% of the potential four-node cycles (squares) that could be formed among the node's neighbors are actually present, reflecting a moderate level of connectivity through indirect paths among neighbors."
138,"This node has direct edges to 73 out of the 398 other nodes in the network (degree centrality 0.1834 × 399 ≈ 73). Its closeness centrality of 0.4932 corresponds to a mean shortest-path distance of 1 / 0.4932 ≈ 2.03 hops required to reach any other node in the graph. The betweenness centrality of 0.0048 means this node lies on approximately 0.48% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2629 indicates that about 26.3% of the node's 73 neighbors share a direct edge with one another, suggesting a moderate level of connectivity within its local neighborhood. The square clustering coefficient of 0.1924 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 19.2% of such cycles are present, reflecting the extent to which neighbors are connected through paths of length two along with direct edges."
139,"This node has direct edges to 53 out of the 398 other nodes in the network (degree centrality 0.1332 × 398 ≈ 53). Its closeness centrality of 0.5077 corresponds to a mean shortest-path distance of 1 / 0.5077 ≈ 1.97 hops to reach any other node in the graph. The betweenness centrality of 0.0019 indicates that this node lies on approximately 0.19% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.5493 signifies that about 54.9% of the node's 53 neighbors share direct edges with each other, indicating a relatively cohesive local subnet. The square clustering coefficient of 0.2671 reveals that 26.7% of potential four-node cycles (squares) are closed among its neighbors, illustrating the degree to which neighbors are interconnected through two-hop paths as well as direct connections."
140,"This node has direct edges to 31 out of the 398 other nodes in the network (degree centrality 0.0779 × 399 ≈ 31). Its closeness centrality of 0.4784 corresponds to a mean shortest-path distance of 1 / 0.4784 ≈ 2.09 hops to reach any other node in the graph. The betweenness centrality of 0.0002 indicates this node lies on approximately 0.02% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.6968 signifies that about 69.68% of the node's 31 neighbors share a direct edge with one another, indicating a densely connected local neighborhood. The square clustering coefficient of 0.3025 reveals that 30.25% of potential four-node cycles (squares) among the neighbors are closed, reflecting moderate connectivity through paths of length two alongside direct edges among the neighbors."
141,"This node has direct edges to 46 out of the 398 other nodes in the network (degree centrality 0.1156 × 398 ≈ 46). Its closeness centrality of 0.4801 corresponds to a mean shortest-path distance of 1 / 0.4801 ≈ 2.08 hops to reach any other node in the graph. The betweenness centrality of 0.0065 means this node lies on approximately 0.65% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4029 indicates that about 40.3% of the node's 46 neighbors share a direct edge with one another, forming a moderately connected local neighborhood. The square clustering coefficient of 0.2086 measures the fraction of potential four-node cycles (squares) that are closed among the node's neighbors; here, 20.9% of such cycles are present, reflecting the degree to which neighbors are connected through paths of length two as well as direct edges."
142,"This node has direct edges to 72 out of the 398 other nodes in the network (degree centrality 0.1809 × 398 ≈ 72). Its closeness centrality of 0.4871 corresponds to a mean shortest-path distance of 1 / 0.4871 ≈ 2.05 hops to reach any other node in the graph. The betweenness centrality of 0.0034 indicates that this node lies on approximately 0.34% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.2938 reveals that about 29.4% of the node's 72 neighbors share a direct edge with one another, illustrating a moderately dense local neighborhood. The square clustering coefficient of 0.2073 signifies that around 20.7% of potential four-node cycles (squares) are closed among the node's neighbors, indicating the presence of connections through paths of length two among some of these neighbors."
143,"This node has direct edges to 72 out of the 398 other nodes in the network. Its degree centrality of 0.1809 confirms this neighbor count as a concrete structural fact. The closeness centrality of 0.4932 corresponds to a mean shortest-path distance of approximately 2.03 hops to reach any other node in the graph (1 / 0.4932). The betweenness centrality of 0.0035 indicates that this node is part of around 0.35% of all shortest paths between pairs of nodes in the network. The clustering coefficient of 0.2367 shows that approximately 23.67% of the node’s 72 neighbors are interconnected, indicating a relatively sparse local neighborhood structure. The square clustering coefficient of 0.2129 indicates that 21.29% of potential four-node cycles among the neighbors are closed, reflecting the levels of connectivity through paths of length two within the local neighborhood."
144,"This node has direct edges to 6 out of the 398 other nodes in the network (degree centrality 0.0151 × 398 ≈ 6). Its closeness centrality of 0.3812 corresponds to a mean shortest-path distance of 1 / 0.3812 ≈ 2.62 hops to reach any other node in the graph. The betweenness centrality of 0.0000 indicates that this node does not lie on any shortest paths between other nodes, representing 0% of all such paths. The clustering coefficient of 0.6667 shows that approximately 66.67% of the node's 6 neighbors share a direct edge with one another, indicating a relatively high level of interconnectedness among its neighbors. The square clustering coefficient of 0.3372 measures that approximately 33.72% of potential four-node cycles (squares) are closed among the node's neighbors, illustrating the extent of connectivity through paths of length two in addition to direct edges."
145,"This node has direct edges to 15 out of the 398 other nodes in the network (degree centrality 0.0377 × 398 ≈ 15). Its closeness centrality of 0.4364 corresponds to a mean shortest-path distance of 1 / 0.4364 ≈ 2.29 hops to reach any other node in the graph. The betweenness centrality of 0.0001 indicates that this node lies on approximately 0.01% of all shortest paths between every other pair of nodes, highlighting a minimal role in connecting different parts of the network. The clustering coefficient of 0.7333 reveals that about 73.33% of the node's 15 neighbors are interconnected, suggesting a significant local neighborhood connectivity. The square clustering coefficient of 0.3189 shows that 31.89% of all potential cycles among the node's neighbors, composed of four nodes, are closed, indicating a moderate level of connectivity among neighbors through paths of length two in addition to direct links."
146,"This node has direct edges to 56 out of the 398 other nodes in the network (degree centrality 0.1407 × 398 ≈ 56). Its closeness centrality of 0.4801 corresponds to a mean shortest-path distance of 1 / 0.4801 ≈ 2.08 hops to reach any other node in the graph. The betweenness centrality of 0.0009 indicates that this node lies on approximately 0.09% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4623 suggests that about 46.2% of the node's 56 neighbors are mutually connected, reflecting a moderately dense local connectivity. The square clustering coefficient of 0.2506 signifies that 25.1% of potential four-node cycles (squares) among the node's neighbors are closed, illustrating the extent of connectivity through paths of length two in addition to direct edges."
147,"This node has direct edges to 35 out of the 398 other nodes in the network (degree centrality 0.0879 × 398 ≈ 35). Its closeness centrality of 0.4633 corresponds to a mean shortest-path distance of 1 / 0.4633 ≈ 2.16 hops to reach any other node in the graph. The betweenness centrality of 0.0006 indicates that this node lies on approximately 0.06% of all shortest paths between every other pair of nodes. The clustering coefficient of 0.4672 signifies that about 46.7% of the node's 35 neighbors are mutually connected by direct edges, indicating a moderately cohesive local neighborhood. The square clustering coefficient of 0.2580 shows that 25.8% of potential four-node cycles (squares) among the node's neighbors are completed with direct connections, reflecting the level of connectivity through paths of length two as well as direct edges within its neighborhood."
